Page URL,Number of Characters,Number of Forms,Number of Links
https://github.com/#start-of-content,10617,2,109
https://github.com//signup?ref_cta=Sign+up&ref_loc=header+logged+out&ref_page=%2F&source=header-home,1690,1,8
https://github.com//features/actions,18507,1,127
https://github.com//features/packages,8631,1,101
https://github.com//features/security,7379,1,115
https://github.com//features/codespaces,11701,1,109
https://github.com//features/copilot,42900,1,117
https://github.com//features/code-review,8404,1,113
https://github.com//features/issues,12344,1,93
https://github.com//features/discussions,11024,1,101
https://github.com//features,22333,1,188
https://github.com//enterprise,17070,1,119
https://github.com//team,8137,1,100
https://github.com//enterprise/startups,18408,3,100
https://github.com//solutions/ci-cd/,17369,1,157
https://github.com//customer-stories,9806,1,188
https://github.com//sponsors,9035,1,99
https://github.com//readme,9917,2,161
https://github.com//topics,7139,2,160
https://github.com//trending,32623,1,1162
https://github.com//collections,5873,2,80
https://github.com//pricing,46717,1,168
https://github.com/,10617,2,109
https://github.com/,10620,2,109
https://github.com/,10620,2,109
https://github.com/,10620,2,109
https://github.com//login,638,1,10
https://github.com//signup?ref_cta=Sign+up&ref_loc=header+logged+out&ref_page=%2F&source=header-home,1690,1,8
https://github.com//features/preview/copilot-x,10270,1,88
https://github.com//organizations/enterprise_plan?ref_cta=Start+a+free+enterprise+trial&ref_loc=Home+campaign+hero&ref_page=%2F,2784,1,52
https://github.com/#productivity,10622,2,109
https://github.com/#collaboration,10622,2,109
https://github.com/#security,10617,2,109
https://github.com//organizations/enterprise_plan?ref_cta=Start+a+free+enterprise+trial&ref_loc=homepage+sticky+nav&ref_page=%2F,2784,1,52
https://github.com//join?ref_cta=Sign+up+for+GitHub&ref_loc=homepage+sticky+nav&ref_page=%2F&source=homepage-sticky-nav,3002,2,51
https://github.com//features/codespaces,11701,1,109
https://github.com//features/copilot,42900,1,117
https://github.com//features/actions,18507,1,127
https://github.com//mobile,4396,1,83
https://github.com//features/issues,12344,1,93
https://github.com//features/discussions,11024,1,101
https://github.com//features/code-review,8404,1,113
https://github.com//sponsors,9035,1,99
https://github.com//kazupon,24829,3,218
https://github.com//commandpost,6295,2,135
https://github.com//eslint,7065,2,175
https://github.com//curl,7155,2,166
https://github.com//dayhaysoos,22560,3,147
https://github.com//homebrew,7664,2,197
https://github.com//yyx990803,23411,3,185
https://github.com//chaynhq,6625,2,140
https://github.com//directus,6971,2,166
https://github.com//features/security,7379,1,115
https://github.com//features/security/software-supply-chain,6037,1,102
https://github.com//signup?ref_cta=Sign+up+for+GitHub&ref_loc=Home+campaign+footer&ref_page=%2F,1690,1,8
https://github.com//organizations/enterprise_plan?ref_cta=Start+a+free+enterprise+trial&ref_loc=Home+campaign+footer&ref_page=%2F,2784,1,52
https://github.com//,10616,2,109
https://github.com//features,22333,1,188
https://github.com//security,10832,1,103
https://github.com//team,8137,1,100
https://github.com//enterprise,17070,1,119
https://github.com//customer-stories?type=enterprise,9892,1,188
https://github.com//readme,9917,2,161
https://github.com//pricing,46717,1,168
https://github.com//premium-support,19874,1,98
https://github.com//about/careers,7874,1,93
https://github.com//about/press,5129,1,111
https://github.com//about/diversity,11948,1,105
https://github.com//sitemap,4253,1,140
https://github.com//git-guides,14795,1,123
https://github.com/,10616,2,109
https://github.com/,10616,2,109
